,respiratory_rate,walking_capacity,sleeping_duration,heart_rate,ruminating,health_status
655,23,13257,3.9,79,6.1,healthy
656,16,5051,4.7,39,3.5,healthy
657,20,8963,4.2,37,6.9,healthy
658,19,13257,2.8,77,5.1,healthy
659,39,6374,2.9,41,4.3,healthy
660,21,5004,7.2,38,3.7,healthy
661,22,5004,7.2,39,3.3,healthy
662,21,13257,3.5,76,6.6,healthy
663,15,9288,5.9,65,4.7,healthy
664,14,13257,7.2,63,5.2,healthy
665,33,5009,7.1,44,3.2,unhealthy
666,18,5004,7.2,39,3.3,healthy
667,28,7273,7.2,55,4.2,healthy
668,17,13257,3.5,67,4.8,healthy
669,18,7884,4.4,51,3.5,healthy
670,17,5004,7.2,48,3.2,healthy
671,30,7872,7.2,39,3.3,healthy
672,25,13257,3.1,66,7.0,healthy
673,40,5054,5.0,40,3.9,unhealthy
674,36,5008,4.5,41,3.4,unhealthy
675,27,13050,5.7,58,5.4,healthy
676,35,8147,2.8,44,6.9,healthy
677,20,12365,7.2,71,5.5,healthy
678,12,13257,3.2,65,5.3,healthy
679,27,5005,7.2,51,4.3,healthy
680,34,6532,6.3,52,3.3,healthy
681,19,13257,7.2,54,4.3,healthy
682,26,13257,3.1,59,6.7,healthy
683,29,11802,4.0,58,4.2,healthy
684,26,5641,5.0,41,7.0,healthy
685,19,10047,5.8,44,5.8,healthy
686,15,13257,4.8,56,6.8,healthy
687,24,5017,3.3,43,3.8,healthy
688,28,13257,2.8,82,6.9,healthy
689,23,11953,7.1,45,6.1,healthy
690,20,13257,3.0,56,5.4,healthy
691,26,5452,7.2,42,3.1,healthy
692,19,13257,3.5,50,5.4,healthy
693,21,10981,6.6,41,4.3,healthy
694,31,5989,3.2,62,6.9,healthy
695,43,6005,4.3,52,5.7,healthy
696,22,5063,4.9,44,6.5,healthy
697,30,13257,2.8,74,6.7,healthy
698,24,13257,2.9,63,4.6,healthy
699,18,6842,6.9,60,3.0,healthy
700,27,13257,7.2,55,6.1,healthy
701,18,6247,5.4,45,3.6,healthy
702,31,11929,3.7,56,4.9,healthy
703,29,11450,3.1,46,4.6,healthy
704,17,13257,2.8,62,6.8,healthy
705,14,6480,7.1,42,3.2,unhealthy
706,16,13257,6.8,72,4.4,healthy
707,13,13257,2.8,51,6.7,healthy
708,16,13257,7.1,69,7.0,healthy
709,39,11631,3.6,44,6.6,unhealthy
710,32,5004,7.2,37,3.6,unhealthy
711,22,5004,6.6,54,3.2,healthy
712,20,5004,7.1,40,3.4,healthy
713,37,13172,7.2,73,6.3,healthy
714,27,13257,4.0,64,5.4,healthy
715,30,6346,6.3,56,6.1,healthy
716,26,13257,2.8,67,3.5,healthy
717,29,13257,2.8,53,4.8,healthy
718,29,8717,2.8,59,7.0,healthy
719,27,5533,2.8,39,6.3,healthy
720,17,13257,2.8,61,5.2,healthy
721,18,6196,2.8,47,3.2,healthy
722,14,13257,3.3,47,6.6,unhealthy
723,26,5008,7.0,51,5.4,healthy
724,22,5824,3.9,49,4.8,healthy
725,33,5148,4.7,45,4.6,unhealthy
726,32,5033,7.2,48,5.0,unhealthy
727,32,5004,7.2,39,6.6,unhealthy
728,24,12816,7.2,61,3.3,healthy
729,24,5760,3.4,57,3.4,healthy
730,17,9873,6.1,49,5.9,healthy
731,27,13043,2.8,72,7.0,healthy
732,31,5004,7.2,50,3.0,unhealthy
733,33,5013,3.1,49,6.4,unhealthy
734,20,13257,2.8,50,6.7,healthy
735,34,5004,6.3,39,4.4,healthy
736,32,13257,2.8,72,6.3,healthy
737,24,11285,6.8,69,4.0,healthy
738,24,13257,2.8,68,7.0,healthy
739,30,13257,3.1,80,4.3,healthy
740,28,13257,2.8,44,6.3,healthy
741,29,5506,6.5,47,3.7,healthy
742,20,13257,5.8,46,6.4,healthy
743,17,13257,2.8,72,7.0,healthy
744,42,13257,2.8,81,4.6,healthy
745,17,5011,3.8,38,4.5,healthy
746,29,5004,7.2,44,4.1,healthy
747,37,13257,2.8,69,7.0,healthy
748,32,5004,2.8,39,3.4,unhealthy
749,23,5005,7.1,51,3.3,healthy
750,20,5018,2.8,40,6.0,healthy
751,23,13257,2.8,43,4.4,healthy
752,18,5095,7.2,60,6.2,healthy
753,29,5005,6.5,41,6.3,healthy
754,18,6709,6.8,63,6.2,healthy
755,27,5004,7.2,38,5.6,healthy
756,27,13257,2.8,74,6.3,healthy
757,22,5035,7.1,44,5.1,healthy
758,24,6344,2.9,49,3.8,healthy
759,22,5586,3.1,39,4.2,healthy
760,20,13257,2.9,63,5.3,healthy
761,41,5227,6.9,56,6.9,healthy
762,20,5004,7.2,37,3.5,healthy
763,31,13257,2.8,62,6.7,healthy
764,15,13257,5.5,71,6.4,healthy
765,31,5004,3.5,38,3.0,unhealthy
766,18,13257,6.9,39,3.6,healthy
767,30,6075,5.3,48,6.6,healthy
768,27,13257,2.8,61,7.0,healthy
769,32,5726,2.8,56,4.6,healthy
770,41,5010,5.2,45,6.2,healthy
771,18,9350,3.1,52,4.7,healthy
772,15,12809,5.8,41,4.7,healthy
773,34,5454,4.2,46,5.7,healthy
774,24,13151,2.8,40,4.7,healthy
775,22,13257,5.7,81,7.0,healthy
776,39,13135,5.5,48,6.9,healthy
777,13,12756,4.8,49,5.5,unhealthy
778,37,5054,2.8,73,4.4,healthy
779,28,5004,5.3,38,4.5,healthy
780,25,5010,6.5,44,3.4,healthy
781,19,12977,2.8,46,4.9,healthy
782,32,5004,4.9,41,3.4,unhealthy
783,44,5004,6.6,42,6.0,unhealthy
784,17,5093,2.9,39,4.5,healthy
785,23,5004,7.2,44,3.8,healthy
786,23,5004,7.2,38,3.0,healthy
787,37,13257,2.8,53,5.0,healthy
788,31,5080,2.9,51,3.8,unhealthy
789,29,13257,2.8,64,7.0,healthy
790,25,5066,3.9,45,5.4,healthy
791,22,5004,7.2,39,3.7,healthy
792,28,5029,7.2,45,5.3,healthy
793,26,13020,3.7,45,5.6,healthy
794,29,8414,2.8,51,5.9,healthy
795,24,11131,6.9,60,6.0,healthy
796,22,13257,2.8,81,5.6,healthy
797,43,9929,6.1,51,3.3,unhealthy
798,27,5006,4.5,55,3.4,healthy
799,29,13257,3.2,63,5.5,healthy
800,22,13257,6.5,82,5.1,healthy
801,20,12887,2.8,64,3.2,healthy
802,23,5005,5.0,48,6.4,healthy
803,22,5004,6.8,50,4.9,healthy
804,17,5142,6.7,57,4.6,healthy
805,12,12512,7.2,61,5.1,healthy
806,16,12092,2.9,59,6.9,healthy
807,38,9576,2.8,54,6.0,unhealthy
808,34,13257,2.8,60,6.9,healthy
809,30,8929,4.0,64,6.9,healthy
810,25,7490,6.7,44,3.5,healthy
811,25,13257,2.8,51,6.6,healthy
812,37,5004,7.2,38,5.3,unhealthy
813,17,5004,2.8,55,5.1,healthy
814,25,5004,7.2,38,3.1,healthy
815,34,5004,7.2,38,3.8,unhealthy
816,16,12566,5.9,72,6.6,healthy
817,19,5005,7.2,44,3.6,healthy
818,14,13257,2.8,65,5.9,healthy
819,22,7088,6.6,60,5.4,healthy
820,28,5007,7.2,52,3.8,healthy
821,20,13257,2.8,60,6.9,healthy
822,17,13257,2.9,76,5.9,healthy
823,31,5004,5.9,44,3.2,unhealthy
824,39,5004,6.0,40,3.5,unhealthy
825,34,12606,2.8,61,7.0,healthy
826,26,5097,2.8,64,6.5,healthy
827,30,13257,2.8,77,7.0,healthy
828,23,12612,2.8,51,7.0,healthy
829,10,13221,3.2,76,3.3,healthy
830,15,10873,7.0,53,4.3,healthy
831,28,7932,3.1,51,5.7,healthy
832,18,5980,7.2,45,5.1,healthy
833,32,5007,7.2,57,5.0,healthy
834,20,13257,7.1,64,5.4,healthy
835,30,10804,2.8,55,6.5,healthy
836,28,5005,2.8,40,5.1,healthy
837,15,5048,6.8,43,5.9,healthy
838,19,13168,2.8,65,6.8,healthy
839,22,13257,2.8,64,7.0,healthy
840,21,6570,3.4,52,4.2,healthy
841,24,13257,2.8,64,6.1,healthy
842,24,11600,4.6,49,3.1,healthy
843,34,5005,2.9,37,6.0,unhealthy
844,29,11735,2.8,60,6.1,healthy
845,32,11780,2.9,46,5.4,unhealthy
846,20,8119,3.5,57,3.8,healthy
847,21,13210,3.1,56,4.5,healthy
848,21,9889,2.8,67,4.9,healthy
849,39,5004,2.8,40,4.7,unhealthy
850,27,12807,3.5,66,4.3,healthy
851,21,13138,6.9,74,3.7,healthy
852,20,5411,4.7,56,4.5,healthy
853,44,5004,4.8,38,4.1,unhealthy
854,26,6365,7.2,48,3.2,healthy
855,38,11477,3.6,40,5.9,unhealthy
856,35,5024,2.9,47,6.6,unhealthy
857,19,5004,7.2,41,3.2,healthy
858,32,12524,5.9,63,6.8,healthy
859,34,13107,2.8,53,6.2,healthy
860,30,13257,7.2,72,6.9,healthy
861,22,5004,6.3,39,6.9,healthy
862,28,8638,7.2,51,5.3,healthy
863,26,13188,7.2,64,6.7,healthy
864,43,5353,3.9,51,5.8,unhealthy
865,24,13257,4.8,51,3.9,healthy
866,21,13257,2.8,57,6.8,healthy
867,28,13257,2.8,68,4.6,healthy
868,30,8151,7.0,57,3.9,healthy
869,25,13257,5.3,72,5.9,healthy
870,17,5004,7.2,52,3.4,healthy
871,23,13257,2.8,45,6.8,healthy
872,31,6035,3.5,52,3.3,unhealthy
873,27,5004,7.2,37,3.1,healthy
874,31,13257,3.1,48,6.9,healthy
875,28,13094,5.8,50,5.8,healthy
876,19,5004,4.7,53,3.2,healthy
877,16,13257,7.1,43,6.6,healthy
878,33,13257,3.5,82,6.8,healthy
879,25,9474,3.4,64,5.9,healthy
880,31,13257,2.8,49,6.6,unhealthy
881,17,5006,2.8,45,4.0,healthy
882,23,13257,5.6,52,5.9,healthy
883,24,5323,6.8,57,4.5,healthy
884,24,5004,4.1,37,3.6,healthy
885,21,5040,7.2,42,3.4,healthy
886,15,5013,7.1,47,4.2,healthy
887,29,5007,5.0,43,3.4,healthy
888,32,13257,7.2,79,4.2,healthy
889,24,5461,4.2,39,4.4,healthy
